calendarDate,Day_Name,Sum of DayOfMonth,Sum of DayOfWeek,Sum of DayOfYear,IsWeekDay,Sum of Month,Month_Name,Sum of QuarterOfYear,SK_date,Sum of Year
2016-01-01 00:00:00,Friday,1,5,1,Y,1,January,1,01012016,2016
2016-01-02 00:00:00,Saturday,2,6,2,N,1,January,1,02012016,2016
2016-01-03 00:00:00,Sunday,3,7,3,N,1,January,1,03012016,2016
2016-01-04 00:00:00,Monday,4,1,4,Y,1,January,1,04012016,2016
2016-01-05 00:00:00,Tuesday,5,2,5,Y,1,January,1,05012016,2016
2016-01-06 00:00:00,Wednesday,6,3,6,Y,1,January,1,06012016,2016
2016-01-07 00:00:00,Thursday,7,4,7,Y,1,January,1,07012016,2016
2016-01-08 00:00:00,Friday,8,5,8,Y,1,January,1,08012016,2016
2016-01-09 00:00:00,Saturday,9,6,9,N,1,January,1,09012016,2016
2016-01-10 00:00:00,Sunday,10,7,10,N,1,January,1,10012016,2016
2016-01-11 00:00:00,Monday,11,1,11,Y,1,January,1,11012016,2016
2016-01-12 00:00:00,Tuesday,12,2,12,Y,1,January,1,12012016,2016
2016-01-13 00:00:00,Wednesday,13,3,13,Y,1,January,1,13012016,2016
2016-01-14 00:00:00,Thursday,14,4,14,Y,1,January,1,14012016,2016
2016-01-15 00:00:00,Friday,15,5,15,Y,1,January,1,15012016,2016
2016-01-16 00:00:00,Saturday,16,6,16,N,1,January,1,16012016,2016
2016-01-17 00:00:00,Sunday,17,7,17,N,1,January,1,17012016,2016
2016-01-18 00:00:00,Monday,18,1,18,Y,1,January,1,18012016,2016
2016-01-19 00:00:00,Tuesday,19,2,19,Y,1,January,1,19012016,2016
2016-01-20 00:00:00,Wednesday,20,3,20,Y,1,January,1,20012016,2016
2016-01-21 00:00:00,Thursday,21,4,21,Y,1,January,1,21012016,2016
2016-01-22 00:00:00,Friday,22,5,22,Y,1,January,1,22012016,2016
2016-01-23 00:00:00,Saturday,23,6,23,N,1,January,1,23012016,2016
2016-01-24 00:00:00,Sunday,24,7,24,N,1,January,1,24012016,2016
2016-01-25 00:00:00,Monday,25,1,25,Y,1,January,1,25012016,2016
2016-01-26 00:00:00,Tuesday,26,2,26,Y,1,January,1,26012016,2016
2016-01-27 00:00:00,Wednesday,27,3,27,Y,1,January,1,27012016,2016
2016-01-28 00:00:00,Thursday,28,4,28,Y,1,January,1,28012016,2016
2016-01-29 00:00:00,Friday,29,5,29,Y,1,January,1,29012016,2016
2016-01-30 00:00:00,Saturday,30,6,30,N,1,January,1,30012016,2016
2016-01-31 00:00:00,Sunday,31,7,31,N,1,January,1,31012016,2016
2016-02-01 00:00:00,Monday,1,1,32,Y,2,February,1,01022016,2016
2016-02-02 00:00:00,Tuesday,2,2,33,Y,2,February,1,02022016,2016
2016-02-03 00:00:00,Wednesday,3,3,34,Y,2,February,1,03022016,2016
2016-02-04 00:00:00,Thursday,4,4,35,Y,2,February,1,04022016,2016
2016-02-05 00:00:00,Friday,5,5,36,Y,2,February,1,05022016,2016
2016-02-06 00:00:00,Saturday,6,6,37,N,2,February,1,06022016,2016
2016-02-07 00:00:00,Sunday,7,7,38,N,2,February,1,07022016,2016
2016-02-08 00:00:00,Monday,8,1,39,Y,2,February,1,08022016,2016
2016-02-09 00:00:00,Tuesday,9,2,40,Y,2,February,1,09022016,2016
2016-02-10 00:00:00,Wednesday,10,3,41,Y,2,February,1,10022016,2016
2016-02-11 00:00:00,Thursday,11,4,42,Y,2,February,1,11022016,2016
2016-02-12 00:00:00,Friday,12,5,43,Y,2,February,1,12022016,2016
2016-02-13 00:00:00,Saturday,13,6,44,N,2,February,1,13022016,2016
2016-02-14 00:00:00,Sunday,14,7,45,N,2,February,1,14022016,2016
