company_name,customer_id,Sum of discount,Sum of item_id,Sum of list_price,order_date,Sum of order_id,product_id,Sum of quantity,required_date,shipped_date,staff_id,status_name,store_id
collected_in_store,3,0.07,3,5999.99,27032018,1468,50,2,30032018,29032018,2,Completed,1
collected_in_store,3,0.07,2,4999.99,27032018,1468,58,1,30032018,29032018,2,Completed,1
collected_in_store,3,0.05,1,199.99,27032018,1468,269,1,30032018,29032018,2,Completed,1
collected_in_store,6,0.2,4,2999.99,27042018,1592,9,1,27042018,NULL,7,Processing,2
collected_in_store,6,0.07,3,4999.99,27042018,1592,40,2,27042018,NULL,7,Processing,2
collected_in_store,6,0.07,2,2299.99,27042018,1592,159,1,27042018,NULL,7,Processing,2
collected_in_store,6,0.05,1,1549,27042018,1592,211,2,27042018,NULL,7,Processing,2
collected_in_store,6,0.05,5,209.99,27042018,1592,271,2,27042018,NULL,7,Processing,2
collected_in_store,7,0.1,1,449,03032016,104,19,2,05032016,05032016,7,Completed,2
collected_in_store,7,0.05,2,599.99,03032016,104,26,1,05032016,05032016,7,Completed,2
collected_in_store,20,0.1,3,1320.99,09112016,547,5,1,11112016,10112016,8,Completed,3
collected_in_store,20,0.2,2,2999.99,09112016,547,9,1,11112016,10112016,8,Completed,3
collected_in_store,20,0.05,1,1680.99,09112016,547,11,2,11112016,10112016,8,Completed,3
collected_in_store,31,0.1,3,999.99,06042016,162,3,2,08042016,07042016,3,Completed,1
collected_in_store,31,0.07,1,449,06042016,162,18,1,08042016,07042016,3,Completed,1
collected_in_store,31,0.07,2,269.99,06042016,162,21,2,08042016,07042016,3,Completed,1
collected_in_store,42,0.07,3,749.99,19082017,1076,73,2,22082017,22082017,6,Completed,2
collected_in_store,42,0.1,1,299.99,19082017,1076,95,1,22082017,22082017,6,Completed,2
collected_in_store,42,0.07,2,489.99,19082017,1076,102,1,22082017,22082017,6,Completed,2
collected_in_store,43,0.07,4,3999.99,29042018,1601,7,2,29042018,NULL,8,Pending,3
collected_in_store,43,0.2,2,1549,29042018,1601,10,1,29042018,NULL,8,Pending,3
collected_in_store,43,0.2,1,579.99,29042018,1601,114,2,29042018,NULL,8,Pending,3
